Node	Leafs	Name	
248	GAGA-0234 GAGA-0306 GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012 GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003	Two subfam myrm-ect	
249	GAGA-0234 GAGA-0306	Ectatomminae	
250	GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012 GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003	Myrmicinae	
251	GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114 NCBI-0012		
252	GAGA-0028 GAGA-0087 GAGA-0401 GAGA-0114		
253	GAGA-0028 GAGA-0087 GAGA-0401		
254	GAGA-0028 GAGA-0087		
255	GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109 GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
256	GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505 GAGA-0109		
257	GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531 GAGA-0503 GAGA-0505		
258	GAGA-0004 GAGA-0413 GAGA-0084 GAGA-0356 GAGA-0531		
259	GAGA-0004 GAGA-0413 GAGA-0084		
260	GAGA-0004 GAGA-0413		
261	GAGA-0356 GAGA-0531		
262	GAGA-0503 GAGA-0505		
263	GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515 GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
264	GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335 GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515		
265	GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013 GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335		
266	GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407 GAGA-0165 NCBI-0013		
267	GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510 GAGA-0407		
268	GAGA-0082 GAGA-0103 GAGA-0256 GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510		
269	GAGA-0082 GAGA-0103 GAGA-0256		
270	GAGA-0103 GAGA-0256		
271	GAGA-0098 GAGA-0099 GAGA-0463 GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510		
272	GAGA-0098 GAGA-0099 GAGA-0463		
273	GAGA-0099 GAGA-0463		
274	GAGA-0222 GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510		
275	GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511 GAGA-0288 GAGA-0510		
276	GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224 GAGA-0511		
277	GAGA-0223 GAGA-0512 GAGA-0513 GAGA-0224		
278	GAGA-0223 GAGA-0512 GAGA-0513		
279	GAGA-0512 GAGA-0513		
280	GAGA-0288 GAGA-0510		
281	GAGA-0165 NCBI-0013		
282	GAGA-0330 GAGA-0393 GAGA-0395 GAGA-0335		
283	GAGA-0330 GAGA-0393 GAGA-0395		
284	GAGA-0393 GAGA-0395		
285	GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520 GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515		
286	GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533 GAGA-0520		
287	GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578 GAGA-0533		
288	GAGA-0328 GAGA-0382 GAGA-0579 GAGA-0331 GAGA-0378 GAGA-0578		
289	GAGA-0328 GAGA-0382 GAGA-0579		
290	GAGA-0328 GAGA-0382		
291	GAGA-0331 GAGA-0378 GAGA-0578		
292	GAGA-0378 GAGA-0578		
293	GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405 GAGA-0515		
294	GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085 GAGA-0405		
295	GAGA-0333 GAGA-0553 GAGA-0527 GAGA-0085		
296	GAGA-0333 GAGA-0553		
297	GAGA-0527 GAGA-0085		
298	GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346 GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
299	GAGA-0245 GAGA-0454 NCBI-0002 GAGA-0346		
300	GAGA-0245 GAGA-0454 NCBI-0002		
301	GAGA-0454 NCBI-0002		
302	GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554 GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
303	GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014 GAGA-0554		
304	GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358 NCBI-0014		
305	GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384 GAGA-0358		
306	GAGA-0080 GAGA-0376 GAGA-0530 GAGA-0384		
307	GAGA-0376 GAGA-0530 GAGA-0384		
308	GAGA-0376 GAGA-0530		
309	GAGA-0229 GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
310	GAGA-0540 GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
311	GAGA-0543 GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
312	GAGA-0541 NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
313	NCBI-0006 GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
314	GAGA-0539 GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
315	GAGA-0538 GAGA-0550 NCBI-0015 NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
316	GAGA-0538 GAGA-0550 NCBI-0015		
317	GAGA-0538 GAGA-0550		
318	NCBI-0017 NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
319	NCBI-0016 NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
320	NCBI-0003 NCBI-0004 GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
321	NCBI-0003 NCBI-0004		
322	GAGA-0014 GAGA-0220 GAGA-0002 GAGA-0001 GAGA-0003		
323	GAGA-0014 GAGA-0220		
324	GAGA-0002 GAGA-0001 GAGA-0003		
325	GAGA-0001 GAGA-0003			
