TaxonName	Subfamily	Tribe	Genus	Subgenus	GenusAuthority	Author	Year	OriginalTypeSpecies	CurrentTypeSpecies	SpeciesCount	Images	Source
Diaphoromyrma	Myrmicinae	Attini	Diaphoromyrma		Fernndez, Delabie & do Nascimento, 2009	Fernndez, Delabie & do Nascimento	2009	Diaphoromyrma sofiae		1	Present	https://www.antwiki.org/wiki/Diaphoromyrma
Dicroaspis	Myrmicinae	Crematogastrini	Dicroaspis		Emery, 1908	Emery	1908	Dicroaspis cryptocera		2	Present	https://www.antwiki.org/wiki/Dicroaspis
Dilobocondyla	Myrmicinae	Crematogastrini	Dilobocondyla		Santschi, 1910	Santschi	1910	Atopomyrmex selebensis	Dilobocondyla selebensis	22	Present	https://www.antwiki.org/wiki/Dilobocondyla
Dinomyrmex	Formicinae	Camponotini	Dinomyrmex		Ashmead, 1905	Ashmead	1905	Formica gigas	Dinomyrmex gigas	2	Present	https://www.antwiki.org/wiki/Dinomyrmex
Dinoponera	Ponerinae	Ponerini	Dinoponera		Roger, 1861	Roger	1861	Ponera grandis	Dinoponera gigantea	10	Present	https://www.antwiki.org/wiki/Dinoponera
Diplomorium	Myrmicinae	Crematogastrini	Diplomorium		Mayr, 1901	Mayr	1901	Diplomorium longipenne		1	Present	https://www.antwiki.org/wiki/Diplomorium
Discothyrea	Proceratiinae	Proceratiini	Discothyrea		Roger, 1863	Roger	1863	Discothyrea testacea		49	Present	https://www.antwiki.org/wiki/Discothyrea
Doleromyrma	Dolichoderinae	Leptomyrmecini	Doleromyrma		Forel, 1907	Forel	1907	Tapinoma (Doleromyrma) darwiniana	Doleromyrma darwiniana	4	Present	https://www.antwiki.org/wiki/Doleromyrma
Dolichoderus	Dolichoderinae	Dolichoderini	Dolichoderus		Lund, 1831	Lund	1831	Formica attelaboides	Dolichoderus attelaboides	149	Present	https://www.antwiki.org/wiki/Dolichoderus
Dolioponera	Ponerinae	Ponerini	Dolioponera		Brown, 1974	Brown	1974	Dolioponera fustigera		1	Present	https://www.antwiki.org/wiki/Dolioponera
Dolopomyrmex	Myrmicinae	Solenopsidini	Dolopomyrmex		Cover & Deyrup, 2007	Cover & Deyrup	2007	Dolopomyrmex pilatus		1	Present	https://www.antwiki.org/wiki/Dolopomyrmex
Dorylus	Dorylinae		Dorylus		Fabricius, 1793	Fabricius	1793	Vespa helvola	Dorylus helvolus	127	Present	https://www.antwiki.org/wiki/Dorylus
Dorymyrmex	Dolichoderinae	Leptomyrmecini	Dorymyrmex		Mayr, 1866	Mayr	1866	Dorymyrmex flavescens		87	Present	https://www.antwiki.org/wiki/Dorymyrmex
Eburopone	Dorylinae		Eburopone		Borowiec, 2016	Borowiec	2016	Cerapachys wroughtoni	Eburopone wroughtoni	1	Present	https://www.antwiki.org/wiki/Eburopone
Echinopla	Formicinae	Camponotini	Echinopla		Smith, F., 1857	Smith, F.	1857	Echinopla melanarctos		39	Present	https://www.antwiki.org/wiki/Echinopla
Eciton	Dorylinae		Eciton		Latreille, 1804	Latreille	1804	Formica hamata	Eciton hamatum	29	Present	https://www.antwiki.org/wiki/Eciton
Ecphorella	Dolichoderinae	Tapinomini	Ecphorella		Forel, 1909	Forel	1909	Tapinoma (Ecphorella) wellmani	Ecphorella wellmani	1	Present	https://www.antwiki.org/wiki/Ecphorella
Ectatomma	Ectatomminae	Ectatommini	Ectatomma		Smith, F., 1858	Smith, F.	1858	Formica tuberculata	Ectatomma tuberculatum	15	Present	https://www.antwiki.org/wiki/Ectatomma
Ectomomyrmex	Ponerinae	Ponerini	Ectomomyrmex		Mayr, 1867	Mayr	1867	Ectomomyrmex javanus		31	Present	https://www.antwiki.org/wiki/Ectomomyrmex
Emeryopone	Ponerinae	Ponerini	Emeryopone		Forel, 1912	Forel	1912	Emeryopone buttelreepeni		5	Present	https://www.antwiki.org/wiki/Emeryopone
Epelysidris	Myrmicinae	Solenopsidini	Epelysidris		Bolton, 1987	Bolton	1987	Epelysidris brocha		1	Present	https://www.antwiki.org/wiki/Epelysidris
Epopostruma	Myrmicinae	Attini	Epopostruma		Forel, 1895	Forel	1895	Strumigenys (Epopostruma) quadrispinosa	Epopostruma quadrispinosa	19	Present	https://www.antwiki.org/wiki/Epopostruma
Erromyrma	Myrmicinae	Solenopsidini	Erromyrma		Bolton & Fisher, 2016	Bolton & Fisher	2016	Monomorium latinode	Erromyrma latinodis	2	Present	https://www.antwiki.org/wiki/Erromyrma
Euponera	Ponerinae	Ponerini	Euponera		Forel, 1891	Forel	1891	Ponera (Euponera) sikorae	Euponera sikorae	27	Present	https://www.antwiki.org/wiki/Euponera
Euprenolepis	Formicinae	Lasiini	Euprenolepis		Emery, 1906	Emery	1906	Prenolepis procera	Euprenolepis procera	8	Present	https://www.antwiki.org/wiki/Euprenolepis
Eurhopalothrix	Myrmicinae	Attini	Eurhopalothrix		Brown & Kempf, 1961	Brown & Kempf	1961	Rhopalothrix bolaui	Eurhopalothrix bolaui	53	Present	https://www.antwiki.org/wiki/Eurhopalothrix
Eusphinctus	Dorylinae		Eusphinctus		Emery, 1893	Emery	1893	Eusphinctus furcatus		2	Present	https://www.antwiki.org/wiki/Eusphinctus
